,Url,Description,Title,Modified,Geography
0,https://www.mercer.us/events/webcasts/transforming-your-digital-employee-experience.html,Digital interactions are the primary way that employees communicate with your company. Creating a positive and frictionless experience,Transforming your digital employee experience | Mercer US,2022-06-02T19:21:28Z,['north-america/united-states']
1,https://www.mercer.com/campaigns/contact/2021/employee-engagement.html,"Allegro delivers the agility you need to stay connected to your workforce, along with rich content and configurability, smart reports, analytics, and guided action facilitation.",Employee Engagement,2021-10-14T10:15:55Z,"['north-america/united-states', 'global']"
2,https://www.mercer.us/what-we-do/workforce-and-careers/employee-experience.html,People are the last competitive advantage. Your approach should reflect that.,Employee Experience,2022-02-23T16:06:20Z,['north-america/united-states']
3,https://www.mercer.us/our-thinking/career/designing-a-future-state-employee-experience.html,HR policies aren’t reflecting lived experiences. Stop thinking paperwork and start designing for an interactive experience.,Designing a future-state employee experience,2021-07-05T18:28:10Z,['north-america/united-states']
4,https://www.mercer.us/our-thinking/career/reimagine-the-employee-experience.html,Develop a more inclusive employee proposition that responds to what employees need now.,Design around what people value,2021-08-26T20:00:53Z,['north-america/united-states']
5,https://www.mercer.us/what-we-do/workforce-and-careers/employee-experience-strategy.html,Enhance your organization’s employee experience strategy with Mercer’s employee research and listening solutions.,Employee Experience Research,2022-02-23T17:42:25Z,['north-america/united-states']
6,https://www.mercer.us/our-thinking/career/the-employee-rewards-experience-redefined.html,"From career growth to health and well-being, we examine the reward factors that can be personalized to enable employees — and enterprises — to thrive.",The Employee Rewards Experience Redefined,2021-08-26T20:03:53Z,"['north-america', 'north-america/united-states']"
7,https://www.mercer.us/events/webcasts/elevating-your-employee-experience-through-meaningful-benefit-solutions-webcast.html,"Elevating your employee experience through meaningful benefit solutions webinar - November 16, 2021","Elevating your employee experience through meaningful benefit solutions - November 16, 2021",2021-11-17T19:48:16Z,['north-america/united-states']
8,https://www.mercer.us/our-thinking/career/transforming-hr-why-a-target-interaction-model-is-the-key-to-unlocking-the-employee-experience.html,"HR’s typical Target Operating Model is a dinosaur in the human age. Instead, adopting the Target Interaction Model confirms an organization’s commitment to improving the employee experience. Click here to learn more about how TIM can benefit your bus",Transforming HR: Why a Target Interaction Model Is the Key to Unlocking the Employee Experience,2021-12-27T23:33:22Z,['north-america/united-states']
9,https://www.mercer.us/our-thinking/career/designing-for-remote-employee-experiences.html,Discover how to shape the HR function to deliver a top-notch employee experience in the remote working environment.,Designing for remote employee experiences,2021-08-26T19:54:17Z,['north-america/united-states']
10,https://www.mercer.com/our-thinking/career/hr-transformation-in-the-experience-age.html,Learn how the Target Interaction Model is different and how focusing on your people not the process is the key to improving the employee experience and to driving a successful HR Transformation.,HR Transformation in the Experience Age,2022-04-21T21:09:10Z,"['north-america/united-states', 'global']"
11,https://www.mercer.us/our-thinking/career/enhancing-employee-experience-through-flexible-work.html,Flexible work is here to stay. We are facing a critical moment for the employee experience as employers plan to return employees to the office at scale.,Enhancing the employee experience through flexible work,2021-07-16T14:01:58Z,['north-america/united-states']
12,https://www.mercer.us/what-we-do/workforce-and-careers/data-driven-employee-experience.html,"Digital adoption is key for long-term HR transformation success, requiring organizations to invest in HR and IT technology, cloud readiness, and skills.",Deliver digital and data-driven employee experience,2022-01-04T16:31:06Z,['north-america/united-states']
13,https://www.mercer.us/our-thinking/career/inside-employees-minds-2021-survey-findings-infographic.html,Employers who wish to differentiate their employee value proposition can start with employee listening to identify value creators for their workforce.,Inside Employees' Minds 2021 Survey Findings - Are you giving your people what they want?,2021-11-18T17:59:51Z,['north-america/united-states']
14,https://www.mercer.us/our-thinking/career/the-future-of-employee-listening.html,Design an empathetic employee listening program to tune into the current and future of work needs of your workforce.,The future of employee listening,2022-04-22T14:04:13Z,['north-america/united-states']
15,https://www.mercer.us/events/webcasts/tech-spotlight-transforming-the-digital-employee-experience.html,"In these times of remote working, increased flexibility, and disconnected HR technology, how will your organization reach and engage your workforce?","Tech spotlight: Transforming the digital employee experience - June 29, 2021",2021-07-16T19:01:21Z,['north-america/united-states']
16,https://www.mercer.us/our-thinking/healthcare/mercerchats-rewind-leveraging-digital-transformation-to-the-improve-employee-benefits-experience.html,"Leading minds on human resources, healthcare reform and digital transformation discuss the future trends in health and benefits",#MercerChats Rewind: Leveraging Digital Transformation to the Improve Employee Benefits Experience,2021-12-08T14:38:08Z,['north-america/united-states']
17,https://www.mercer.at/what-we-do/workforce-and-careers/hr-transformation/data-driven-employee-experience.html,"Digital adoption is key for long-term HR transformation success, requiring organizations to invest in HR and IT technology, cloud readiness, and skills.",Deliver digital and data-driven employee experience,2021-08-25T22:40:19Z,"['north-america/united-states', 'global']"
18,https://www.mercer.us/our-thinking/career/flexible-work-5-keys-to-driving-positive-employee-experience.html,Most employers have maintained a focus on flexible working and employee experience and have successfully balanced economics and empathy in response to COVID0-19.,Embracing Flexible Work: 5 keys to driving positive employee experience,2021-07-14T15:02:34Z,['north-america/united-states']
19,https://www.mercer.com/what-we-do/workforce-and-careers/data-driven-employee-experience.html,"Digital adoption is key for long-term HR transformation success, requiring organizations to invest in HR and IT technology, cloud readiness, and skills.",Deliver digital and data-driven employee experience,2021-08-25T18:52:32Z,"['north-america/united-states', 'global']"
20,https://www.mercer.com/newsroom/2021-health-on-demand-survey-released.html,"As the pandemic continues, the ability of employers to have a positive impact on employee health and resiliency cannot be understated and is one of the most important findings of the latest Mercer “Health on Demand” survey released today.","Employer support has a direct impact on the health and resilience of employees, according to a Mercer survey",2021-09-13T12:47:42Z,"['global', 'north-america/united-states/new-york']"
21,https://www.mercer.at/what-we-do/workforce-and-careers/hr-transformation/hr-transformation-in-the-experience-age.html,Learn how the Target Interaction Model is different and how focusing on your people not the process is the key to improving the employee experience and to driving a successful HR Transformation.,HR Transformation in the Experience Age,2021-11-11T05:39:13Z,"['north-america/united-states', 'global']"
22,https://www.mercer.us/what-we-do/workforce-and-careers/virtual-benefits-fair.html,"In these times of remote working and social distancing, engage your workforce in their benefits with an interactive virtual health fair experience that connects employees directly with their benefits. Learn about Mercer’s solution.",Virtual benefits fair,2022-03-30T16:22:51Z,['north-america/united-states']
23,https://www.mercer.us/about-mercer.html,"Mercer is a prominent global consulting leader in talent, health, retirement, and investments. Visit our website to learn more about Mercer today!",Employee Healthcare & Investment Consulting Firm | Mercer,2022-04-22T12:32:00Z,"['north-america', 'north-america/united-states']"
24,https://www.mercer.us/our-thinking/inside-employees-minds-report-one.html,Our survey reports provide compelling insights regarding employee perceptions of work and current engagement levels.,Mercer | Inside Employees' Minds US Report,2021-08-25T18:56:38Z,"['north-america', 'north-america/united-states']"
25,https://www.mercer.us/what-we-do/workforce-and-careers/workforce-rewards.html,"Attract, motivate & retain your workforce by rewarding the right behaviors. Mercer can help with benchmarking, total rewards strategy, and more.",Workforce Rewards,2022-02-23T17:53:13Z,['north-america/united-states']
26,https://www.mercer.us/what-we-do/health-and-benefits.html,"Creative employee benefits solutions can reduce costs while helping employees live healthier, more productive lives. Visit Mercer for helpful info on employee benefits.",Employee Benefits Program & Solutions Provider | Mercer,2022-04-29T15:42:04Z,['north-america/united-states']
27,https://www.mercer.us/what-we-do/health-and-benefits/multiple-employer-solutions-peo.html,One-stop shop for PEO organizations that incorporates those prescriptive and innovative ways of thinking. Offering our solutions as a bundled approach or customized to your needs.,Multiple employer solutions PEO,2022-04-25T16:40:32Z,['north-america/united-states']
28,https://www.mercer.us/what-we-do/health-and-benefits/strategy-and-transformation/employee-benefits-broker.html,"Want to learn more about Mercer? Our expertise, wealth of health and benefits solutions, and global reach means we offer employee benefits brokers you can trust.",Employee Benefits Broker | Health & Benefits | Mercer,2022-02-18T18:46:20Z,['north-america/united-states']
29,https://www.mercer.us/what-we-do/health-and-benefits-DRAFT.html,"Creative employee benefits solutions can reduce costs while helping employees live healthier, more productive lives. Visit Mercer for helpful info on employee benefits.",Employee Benefits Program & Solutions Provider | Mercer,2022-04-07T21:23:13Z,['north-america/united-states']
30,https://www.mercer.us/what-we-do/workforce-and-careers/effective-employee-communication.html,"In a world where employees are busy, dispersed, and distracted, employee communication and change management strategy is crucial to success. Learn about Mercer's solution.",Effective Employee Communication & Change Management | Mercer,2021-08-05T19:07:14Z,['north-america/united-states']
31,https://www.mercer.us/what-we-do/health-and-benefits/high-value-care.html,"Discover why hundreds of associations trust Mercer to deliver sustainable membership growth, value and affinity healthcare solutions. Are you ready to work with Mercer?",High Value Care | Health & Benefits | Mercer,2022-01-28T13:55:32Z,['north-america/united-states']
32,https://www.mercer.us/our-thinking/healthcare/solution-spotlight-helping-employees-get-behavioral-healthcare-when-they-need-it.html,"The increased need for behavioral healthcare is not receding as we emerge from the pandemic. In this Solution Spotlight, we address how you can supplement your current offerings to support your employees.",Solution Spotlight: Helping Employees Get Behavioral Healthcare When They Need It,2021-07-01T14:37:09Z,['north-america/united-states']
33,https://www.mercer.us/about-mercer/lines-of-business/talent/job-analysis-and-job-evaluation.html,Job Analysis and Job Evaluation from Mercer’s Workforce Rewards allows organizations to assess jobs and job architecture.,Job Evaluation Methods & Job Analysis for Employers | Mercer,2021-08-19T18:39:52Z,['north-america/united-states']
34,https://www.mercer.us/what-we-do/wealth-and-investments/employee-financial-wellness.html,Mercer Financial Wellness programs help reduce financial worries to increase workforce engagement and productivity. Click the link to find out more.,Employee Financial Wellness,2021-11-03T15:54:05Z,['north-america/united-states']
35,https://www.mercer.us/what-we-do/health-and-benefits/strategy-and-transformation/voluntary-benefits-and-financial-wellness.html,Mercer helps companies navigate voluntary employee benefits and financial wellness programs. Visit our website to learn how Mercer can assist you.,Voluntary Employee Benefits & Financial Wellness | Mercer,2021-06-30T15:07:09Z,"['north-america/united-states', 'north-america']"
36,https://www.mercer.us/what-we-do/workforce-and-careers/redesigning-hr-model.html,"Successful HR transformations rethinking four key dimensions including processes, systems, content and organization, leveraging technology to increase impact results.",Improve efficiency by redesigning HR model,2022-04-08T18:35:53Z,['north-america/united-states']
37,https://www.mercer.us/our-thinking/healthcare/whats-at-the-heart-of-the-employer-employee-bond.html,Employees who feel their employers have provided good support during the pandemic are more likely to stay at their jobs as a result.,What’s at the Heart of the Employer-Employee Bond?,2021-09-17T14:00:44Z,['north-america/united-states']
38,https://www.mercer.us/our-thinking/open-enrollment.html,Mercer insights for benefits communication and hosting a virtual benefits fair for open enrollment in a virtual world.,Mercer open enrollment & benefits communication,2022-02-23T17:10:16Z,['north-america/united-states']
39,https://www.mercer.us/what-we-do/health-and-benefits/multiple-employers-solutions.html,"Discover why hundreds of associations trust Mercer to deliver sustainable membership growth, value and affinity healthcare solutions. Are you ready to work with Mercer?",Multiple employers solutions,2022-04-25T16:35:31Z,['north-america/united-states']
40,https://www.mercer.us/what-we-do/health-and-benefits/strategy-and-transformation.html,"Here at Mercer, we help clients create innovative strategies to improve employee satisfaction and save companies 8 percent or more (results may vary).",Employer Benefits Strategy Innovation & Transformation | Health & Benefits | Mercer,2022-04-06T14:34:00Z,['north-america/united-states']
41,https://www.mercer.us/our-thinking/healthcare/gaps-in-employer-support-for-substance-use-disorders.html,There are plenty of stats about the rise in substance use disorders during the pandemic. We use an individual experience to discuss what employers can do to bridge gaps and ensure employees receive support when it can do the most good.,Lost Opportunities: Gaps in Employer Support for Substance Use Disorders,2022-05-26T20:57:18Z,['north-america/united-states']
